707,inf
1564,inf
1870,128
4419,79
4422,54
3843,54
4423,51
2331,48
738,47
554,47
118,46
449,43
89,42
4030,40
3562,37
4369,36
1142,36
3748,36
3407,36
3442,35
4182,35
1381,35
3275,35
1895,34
2766,34
2127,33
729,33
2119,33
619,33
1775,32
367,32
3733,32
1742,32
628,32
1907,32
739,31
3992,31
3012,31
4240,31
56,30
4424,30
247,29
2872,29
85,29
3845,29
4009,29
3299,29
819,29
2851,28
277,28
4279,28
1223,28
1978,28
3044,28
2427,28
57,28
2650,28
202,27
3311,27
4425,27
3337,27
677,27
1788,27
2961,27
1541,27
1331,26
70,26
3074,26
4421,26
1955,26
3448,26
3554,26
2609,25
4157,25
523,25
3572,25
312,25
543,24
393,24
818,24
1346,24
1532,24
3712,24
4281,24
124,24
1845,24
1647,24
4265,24
1896,24
3985,24
2974,24
2878,23
4433,23
2732,23
155,23
3399,23
993,23
36,23
2546,23
579,23
